Species	BAN001.A0101.SG1.1_10M	BAN001.A0102.SG1.4_10M	CDM019.A0101.SG1.1_10M	CDM019.A0102.SG1.4_10M	CDM020.A0101.SG1.1_10M	CDM020.A0102.SG1.4_10M	FUM001.A0101.SG1.1_10M	FUM001.A0102.SG1.4_10M	FUM002.A0101.SG1.1_10M	FUM002.A0102.SG1.5_10M	FUM003.A0101.SG1.1_10M	FUM003.A0102.SG1.4_10M	GDN001.A0101.SG1.1_10M	GDN001.A0102.SG1.3_10M	GOY005.A0101.SG1.2_10M	GOY005.A0103.SG1.4_10M	GOY006.A0101.SG1.2_10M	GOY006.A0102.SG1.5_10M	GUE001.A0101.SG1.1_10M	GUE001.A0102.SG1.4_10M	PES001.B0101.SG1.3_10M	PES001.B0102.SG1.5_10M	SPM002.A0101.SG1.1_10M	SPM002.A0103.SG1.4_10M	VLD001.A0101.SG1.1_10M	VLD001.A0102.SG1.2_10M	ZAF001.A0101.SG1.1_10M	ZAF001.A0103.SG1.4_10M
Catonella massiliensis	0	0	199	387	153	311	0	0	12	35	0	0	0	0	27	15	32	27	0	0	30	37	0	0	35	24	0	0
Catonella morbi	0	0	2444	4597	4955	8113	34	10	74	103	0	0	28	19	243	205	160	201	0	0	65	99	0	0	48	25	14	0
Centipeda infelix	0	0	1400	853	987	695	15	0	10	0	0	0	0	0	23	0	20	14	0	0	29	24	0	0	0	0	0	0
Centipeda noxia	0	0	2603	1830	3284	2472	49	0	22	16	0	0	10	0	42	13	71	38	0	0	185	114	0	0	70	29	112	12
Centipeda periodontii	0	0	2399	1564	1312	894	0	0	0	0	0	0	0	0	15	0	17	13	0	0	18	0	0	0	0	0	0	0
Centipeda sp000286455	0	0	457	306	301	183	0	0	0	0	0	0	0	0	0	0	17	0	0	0	15	10	0	0	0	0	17	0
Centipeda sp000318175	0	0	426	225	256	187	0	0	0	0	0	0	0	0	11	0	13	0	0	0	18	10	0	0	0	0	0	0
Centipeda sp000468035	0	0	2086	1485	5556	3721	31	0	12	0	0	0	0	0	40	12	77	42	0	0	62	40	0	0	15	10	0	0
Centipeda sp001683335	0	0	1147	694	401	269	11	0	15	0	0	0	0	0	11	0	18	0	0	0	23	18	0	0	0	0	0	0
Centipeda sp001717585	0	0	3485	2266	939	660	15	0	0	0	0	0	0	0	16	0	18	15	0	0	28	24	0	0	0	0	0	0
Centipeda sp905372865	0	0	633	420	2181	1329	23	0	10	0	0	0	0	0	18	0	17	0	0	0	20	0	0	0	0	0	0	0
Corynebacterium durum	21	11	0	0	400	310	341	41	737	280	155	40	15	0	1493	458	5224	1451	21	0	4294	1585	56	0	35	0	411	76
Corynebacterium matruchotii	13	0	4126	2783	28725	22056	486	24	283	213	215	33	0	0	8633	3051	996	667	63	0	460	357	81	0	94	19	887	119
Desulfobulbus oralis	0	0	91466	49085	61364	30950	196566	20750	119575	58962	18237	5473	46676	9013	30991	6313	56706	22802	0	0	198913	82559	0	0	67338	21564	81	16
Desulfomicrobium orale	0	0	328634	167850	23354	14169	445	53	2764	1651	139	66	6976	1665	9910	2500	13394	5551	0	0	2051	1265	0	0	137	46	0	0
Desulfovibrio sp003860215	0	0	3090	1664	5490	2949	24	0	13	11	0	0	11	0	83	14	38	13	0	0	15	0	0	0	0	0	0	0
Dialister invisus	22	0	2820	3781	611	576	74	0	0	0	30	0	13	12	19	0	22	19	14	0	176	120	0	0	11	0	34	0
Eikenella corrodens	0	0	597	395	5881	3880	104	0	94	52	304	99	11	0	4478	1084	3206	1475	0	0	383	199	0	0	0	0	39	0
Eubacterium B infirmum	0	0	279	452	99	185	20	15	108	97	22	11	17	26	71	62	101	88	0	0	248	303	0	0	67	32	0	0
Eubacterium M brachy	0	0	725	1234	191	364	54	0	19	46	17	0	16	26	28	24	68	53	0	0	23	41	0	0	24	19	59	21
Eubacterium N saphenum	0	0	4052	7221	952	1508	10	0	0	0	0	0	307	207	11	0	82	79	0	0	35	54	0	0	11	0	0	0
F0058 sp000163695	0	0	26181	34994	23514	29559	760	259	683	894	30	35	104	76	2487	1644	1363	1551	0	0	4122	5001	0	0	428	235	32	16
F0058 sp905372135	0	0	11656	14214	16933	19612	108	37	266	356	13	16	37	58	993	585	681	746	0	0	711	811	0	0	74	34	11	0
F0058 sp905372605	0	0	3054	3924	6600	7953	13	12	56	63	0	0	12	12	165	94	136	146	0	0	87	128	0	0	14	0	11	0
Filifactor alocis	0	0	2524	4800	1655	2853	27	18	56	76	11	11	74	62	109	85	290	374	0	0	96	143	0	0	44	30	12	10
Flexilinea sp001717545	0	0	240612	168013	118490	77485	12910	1480	9388	5795	709	224	325268	76947	2225	628	38630	16097	0	0	119561	50148	0	0	45216	13566	69	33
Fretibacterium fastidiosum	0	0	34918	16099	15165	7507	869	101	200	103	22	0	607	179	586	140	1231	573	0	0	1865	1149	0	0	147	40	14	0
Fusobacterium animalis	0	0	167	625	114	341	18	10	0	21	0	0	0	0	209	316	57	154	0	0	12	42	15	0	0	0	23	21
Fusobacterium hwasookii	0	0	101	390	605	1652	38	27	67	102	136	162	0	0	3212	4486	711	1515	0	0	137	389	0	0	0	0	14	0
Fusobacterium nucleatum	0	0	633	2304	946	2686	114	73	32	88	57	61	13	36	1364	2004	539	1287	0	0	123	303	0	0	0	25	40	23
Fusobacterium periodonticum	0	0	42	125	52	169	10	0	0	23	17	22	0	0	708	902	123	292	0	0	18	57	0	0	0	0	10	0
Fusobacterium polymorphum	0	0	221	707	441	1172	33	11	34	42	13	26	63	60	526	753	175	468	0	0	34	103	0	0	0	0	63	20
Fusobacterium sp000235465	0	0	45	160	53	132	0	10	0	22	0	16	0	0	371	585	104	197	0	0	0	41	0	0	0	0	0	0
Fusobacterium vincentii	0	0	109	331	94	307	23	20	12	20	22	0	0	0	242	343	92	189	0	0	18	55	0	0	0	0	15	13
GN02-872 sp003260325	0	0	0	22	1642	4378	0	0	0	23	0	0	0	0	35	40	0	10	0	0	0	0	0	0	0	0	0	0
GN02-873 sp003260345	0	0	0	0	520	725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemella morbillorum	0	0	127	363	2713	7133	570	153	898	1770	34	33	0	17	2378	2754	5710	7759	0	0	2348	3880	0	0	37	26	98	38
Gemella sanguinis	11	15	0	0	29	78	73	29	11	38	16	14	0	0	41	58	116	134	0	0	60	102	0	0	0	0	441	187
Granulicatella adiacens	0	0	21	63	488	900	28	0	51	83	20	16	0	0	185	162	61	78	12	0	135	213	12	0	16	0	98	32
Granulicatella sp905371865	0	0	21	28	299	429	0	0	41	53	0	0	0	0	83	90	25	43	0	0	90	78	0	0	0	0	21	0
H1 sp001653155	0	0	1879	2082	2874	3290	97	27	565	614	0	0	357	166	1364	822	441	439	0	0	1344	1453	0	0	278	114	0	0
HOT-345 sp003260355	0	0	243	403	1217	1907	69	19	62	98	15	15	0	0	62	42	56	88	0	0	27	47	0	0	0	0	0	0
HOT-345 sp013333605	0	0	18	40	794	1461	0	0	12	12	29	21	0	0	164	155	74	86	0	0	0	16	0	0	0	0	0	0
Hornefia minuta	0	0	77690	87871	22448	25251	809	210	2990	2803	175	84	40910	17351	2213	1197	7431	5992	0	0	32353	26363	0	0	20126	9853	0	0
JABCPE02 sp013333255	0	0	32	77	693	1131	292	103	256	376	4403	2539	0	0	3854	2496	467	498	0	0	1832	1914	0	0	0	0	21	11
JABCPE02 sp013333875	0	0	35	63	746	1364	426	167	392	501	5901	3528	21	13	5411	3625	692	726	0	0	2586	2740	0	0	0	0	15	0
Johnsonella ignava	0	0	5664	15806	7742	16062	12288	2780	863	1153	120	71	735	578	8161	5106	13584	13589	0	0	19962	23467	0	0	328	216	58	74
Johnsonella sp905373785	0	0	744	1605	5632	10728	240	68	409	556	30	24	0	0	682	425	1678	1649	0	0	1016	1284	0	0	27	23	0	0
Kingella A denitrificans	0	0	19	17	592	392	37	0	76	49	31	0	0	0	1300	391	172	83	0	0	113	50	0	0	12	0	17	0
Lachnoanaerobaculum gingivalis	0	0	64	147	246	437	0	0	57	110	0	0	0	17	83	59	56	58	0	0	76	122	0	0	0	0	0	0
