gc_bin,counts_gc,Study
"(51,52]",207876,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(52,53]",286775,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(53,54]",336677,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(54,55]",335188,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(55,56]",245758,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(56,57]",160275,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(57,58]",231389,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(58,59]",246023,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(59,60]",309368,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(60,61]",57364,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(61,62]",146128,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(62,63]",132034,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(63,64]",146740,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(64,65]",102642,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(65,66]",41811,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(66,67]",222946,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(67,68]",22980,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(68,69]",49362,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(69,70]",100268,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(70,71]",24102,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(71,72]",40383,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(72,73]",42503,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(73,74]",24781,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(74,75]",77471,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(75,76]",4068,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(76,77]",18902,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(77,78]",47005,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(78,79]",11370,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(79,80]",19638,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(80,81]",2399,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(81,82]",10659,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(82,83]",3009,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(83,84]",7270,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(84,85]",4386,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(85,86]",10709,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(86,87]",1732,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(87,88]",13119,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(88,89]",6151,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(89,90]",2702,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
