gc_bin,counts_gc,Study
"(69,70]",1148,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(71,72]",732,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(72,73]",367,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(73,74]",247,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(74,75]",113,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(76,77]",74,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(77,78]",40,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(78,79]",21,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(80,81]",19,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(81,82]",13,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(82,83]",17,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(84,85]",21,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(85,86]",11,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(86,87]",7,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(88,89]",13,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(89,90]",17,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(90,91]",11,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(92,93]",6,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(93,94]",28,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(94,95]",15,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(96,97]",9,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(97,98]",14,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(98,99]",3,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(99,100]",1,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(10,11]",2,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(11,12]",1,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(13,14]",9,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(14,15]",19,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(15,16]",48,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(17,18]",115,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(18,19]",243,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(19,20]",488,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(20,21]",1,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(21,22]",932,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(22,23]",1641,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(23,24]",2893,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(24,25]",4530,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(25,26]",4,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(26,27]",6867,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(27,28]",10042,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(28,29]",14289,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
"(29,30]",7,CDM019.A0101.10M_raw_R1_gc_rl.tsv.gz
