#Classification	Sample #1	Sample #2	Sample #3	Sample #4	Sample #5	Sample #6	Sample #7	Sample #8	Sample #9	Sample #10	Sample #11	Sample #12	Sample #13	Sample #14	Sample #15	Sample #16	Sample #17	Sample #18	Sample #19	Sample #20	Sample #21	Sample #22	Sample #23	Sample #24	Sample #25	Sample #26	Sample #27	Sample #28
d__Bacteria|p__NPL-UPA2|s__NPL-UPA2 sp003574845	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0
d__Bacteria|p__JAHJDO01	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0
d__Bacteria|p__JAHJDO01|s__JAHJDO01 sp018812485	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0
d__Bacteria|p__JdFR-76	0	0	4	3	0	3	1	2	2	1	2	0	5	2	1	0	1	1	4	0	1	2	0	0	0	0	1	0
d__Bacteria|p__JdFR-76|f__BMS3Abin05	0	0	2	2	0	2	1	1	1	1	1	0	5	2	1	0	1	1	1	0	0	1	0	0	0	0	0	0
d__Bacteria|p__JdFR-76|f__BMS3Abin05|s__BMS3Abin05 sp002898015	0	0	1	0	0	2	0	0	1	0	0	0	5	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
d__Bacteria|p__JdFR-76|f__BMS3Abin05|s__BMS3Abin05 sp013151735	0	0	1	2	0	0	1	1	0	1	1	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0
d__Bacteria|p__JdFR-76|f__4484-219	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
d__Bacteria|p__JdFR-76|f__4484-219|s__4484-219 sp002085035	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
d__Bacteria|p__JdFR-76|s__JdFR-76 sp002011685	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0
d__Bacteria|p__JABMQX01	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__JABMQX01|s__JABMQX01 sp013203085	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Eisenbacteria	0	0	55	20	39	18	80	5	52	19	117	23	267	32	39	8	46	14	509	8	59	21	2	0	32	8	110	5
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46	0	0	55	20	39	18	80	5	52	19	117	23	267	32	39	8	46	14	509	8	59	21	2	0	32	8	110	5
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|o__CAIMUX01	0	0	15	6	8	1	8	1	8	1	13	3	26	3	10	5	6	2	51	2	9	10	0	0	2	1	11	0
d__Bacteria|p__Eisenbacteria|c__RBG-16-71-46|o__CAIMUX01|f__WJJG01	0	0	8	1	3	0	1	0	4	0	7	0	19	1	2	1	2	1	17	1	1	2	0	0	0	1	2	0
