Species	BAN001.A0101.SG1.1_5M	BAN001.A0101.SG1.1_5M_over50bp	BAN001.A0101.SG1.1_5M_under50bp	BAN001.A0102.SG1.4_5M	BAN001.A0102.SG1.4_5M_over50bp	BAN001.A0102.SG1.4_5M_under50bp	CDM019.A0101.SG1.1_5M	CDM019.A0101.SG1.1_5M_over50bp	CDM019.A0101.SG1.1_5M_under50bp	CDM019.A0102.SG1.4_5M	CDM019.A0102.SG1.4_5M_over50bp	CDM019.A0102.SG1.4_5M_under50bp	CDM020.A0101.SG1.1_5M	CDM020.A0101.SG1.1_5M_over50bp	CDM020.A0101.SG1.1_5M_under50bp	CDM020.A0102.SG1.4_5M	CDM020.A0102.SG1.4_5M_over50bp	CDM020.A0102.SG1.4_5M_under50bp	FUM002.A0101.SG1.1_5M	FUM002.A0101.SG1.1_5M_over50bp	FUM002.A0101.SG1.1_5M_under50bp	FUM002.A0102.SG1.5_5M	FUM002.A0102.SG1.5_5M_over50bp	FUM002.A0102.SG1.5_5M_under50bp	FUM003.A0101.SG1.1_5M	FUM003.A0101.SG1.1_5M_over50bp	FUM003.A0101.SG1.1_5M_under50bp	FUM003.A0102.SG1.4_5M	FUM003.A0102.SG1.4_5M_over50bp	FUM003.A0102.SG1.4_5M_under50bp	GDN001.A0101.SG1.1_5M	GDN001.A0101.SG1.1_5M_over50bp	GDN001.A0101.SG1.1_5M_under50bp	GDN001.A0102.SG1.3_5M	GDN001.A0102.SG1.3_5M_over50bp	GDN001.A0102.SG1.3_5M_under50bp	GOY005.A0101.SG1.2_5M	GOY005.A0101.SG1.2_5M_over50bp	GOY005.A0101.SG1.2_5M_under50bp	GOY005.A0103.SG1.4_5M	GOY005.A0103.SG1.4_5M_over50bp	GOY005.A0103.SG1.4_5M_under50bp	GOY006.A0101.SG1.2_5M	GOY006.A0101.SG1.2_5M_over50bp	GOY006.A0101.SG1.2_5M_under50bp	GOY006.A0102.SG1.5_5M	GOY006.A0102.SG1.5_5M_over50bp	GOY006.A0102.SG1.5_5M_under50bp	PES001.B0101.SG1.3_5M	PES001.B0101.SG1.3_5M_over50bp	PES001.B0101.SG1.3_5M_under50bp	PES001.B0102.SG1.5_5M	PES001.B0102.SG1.5_5M_over50bp	PES001.B0102.SG1.5_5M_under50bp	VLD001.A0101.SG1.1_5M	VLD001.A0101.SG1.1_5M_over50bp	VLD001.A0101.SG1.1_5M_under50bp	VLD001.A0102.SG1.2_5M	VLD001.A0102.SG1.2_5M_over50bp	VLD001.A0102.SG1.2_5M_under50bp
Aggregatibacter aphrophilus	0	0	0	2	1	1	22	16	6	27	21	6	316	260	56	400	302	98	100	41	59	173	75	98	644	354	290	846	329	517	0	0	0	1	0	1	8082	4701	3381	7913	3527	4386	762	452	310	958	430	528	244	165	79	436	227	209	2	2	0	5	2	3
Aggregatibacter kilianii	0	0	0	1	1	0	23	20	3	20	15	5	932	710	222	1237	855	382	150	72	78	236	99	137	1424	700	724	1906	686	1220	0	0	0	1	0	1	15049	8901	6148	14786	6632	8154	835	492	343	1017	454	563	265	177	88	424	219	205	0	0	0	3	0	3
Aggregatibacter kilianii A	2	0	2	0	0	0	3	2	1	2	2	0	15	11	4	20	12	8	4	2	2	6	5	1	33	9	24	37	14	23	0	0	0	0	0	0	295	174	121	307	143	164	41	26	15	50	19	31	14	9	5	15	9	6	0	0	0	0	0	0
Aggregatibacter segnis	1	0	1	0	0	0	15	13	2	24	17	7	316	238	78	375	275	100	40	20	20	46	16	30	80	44	36	89	33	56	0	0	0	0	0	0	971	562	409	886	406	480	179	107	72	180	70	110	37	25	12	60	35	25	0	0	0	1	0	1
Aggregatibacter segnis A	0	0	0	3	2	1	14	11	3	21	14	7	263	193	70	322	214	108	35	16	19	86	36	50	78	41	37	115	34	81	0	0	0	0	0	0	1124	637	487	1068	480	588	215	148	67	267	124	143	55	35	20	71	40	31	1	0	1	0	0	0
Aggregatibacter sp000466335	0	0	0	0	0	0	5	4	1	20	10	10	192	151	41	201	140	61	10	5	5	26	11	15	74	37	37	74	33	41	0	0	0	1	1	0	745	417	328	628	268	360	102	60	42	132	63	69	22	15	7	41	27	14	1	0	1	3	1	2
Agrobacterium sp900013535	8	5	3	8	2	6	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0	3	3	0	7	7	0	2	1	1	3	2	1	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2566	1827	739	1164	496	668
Alishewanella agri	2	2	0	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	384	341	43	98	72	26	2	1	1	4	2	2	150	148	2	94	78	16	4	3	1	3	3	0
Anaerosphaera mikwangii	0	0	0	0	0	0	145	126	19	350	279	71	41	32	9	142	103	39	84	65	19	173	110	63	2	2	0	6	2	4	22	14	8	54	28	26	21	11	10	30	13	17	52	39	13	94	56	38	83	74	9	220	160	60	22	15	7	31	20	11
Aquabacterium commune	25	18	7	11	7	4	1	0	1	1	1	0	1	1	0	1	1	0	1	0	1	1	1	0	1388	1305	83	861	643	218	7	7	0	3	2	1	10	6	4	1	1	0	2	1	1	3	1	2	2	1	1	2	2	0	21	19	2	32	12	20
Arachnia propionica	0	0	0	1	1	0	40476	34900	5576	17579	12480	5099	52545	43724	8821	25015	17486	7529	3661	2179	1482	2618	1291	1327	685	372	313	467	168	299	5134	4050	1084	1728	987	741	5961	2809	3152	2759	923	1836	7776	4923	2853	3475	1632	1843	33625	28934	4691	16627	11455	5172	696	360	336	415	136	279
Arachnia propionica B	0	0	0	0	0	0	23	16	7	9	7	2	214	173	41	91	64	27	55	36	19	27	15	12	5	3	2	8	2	6	32	26	6	16	10	6	57	27	30	26	7	19	76	52	24	40	17	23	195	152	43	124	77	47	12	7	5	7	1	6
Arachnia propionica C	0	0	0	0	0	0	53	43	10	14	12	2	148	122	26	77	52	25	45	25	20	45	17	28	11	6	5	4	2	2	22	12	10	9	4	5	55	22	33	22	8	14	73	41	32	37	16	21	163	123	40	119	65	54	6	3	3	4	2	2
Arachnia rubra	2	0	2	1	1	0	633	530	103	310	219	91	1518	1227	291	784	518	266	223	132	91	181	89	92	58	33	25	20	9	11	150	110	40	59	33	26	279	129	150	184	70	114	421	252	169	169	75	94	1252	1047	205	666	444	222	40	30	10	16	7	9
Arachnia sp013333945	0	0	0	0	0	0	2044	1740	304	975	712	263	13131	10906	2225	6864	4844	2020	3854	2205	1649	3175	1475	1700	1054	582	472	896	316	580	395	306	89	171	91	80	3264	1599	1665	1587	568	1019	3513	2239	1274	1607	743	864	11344	9767	1577	5879	4056	1823	168	109	59	107	50	57
Arachnia sp900607225	0	0	0	0	0	0	4233	3647	586	1912	1368	544	12825	10545	2280	6350	4466	1884	1850	1056	794	1360	637	723	257	133	124	185	78	107	937	727	210	283	143	140	2457	1181	1276	1193	424	769	3043	1874	1169	1276	583	693	10688	8984	1704	5431	3625	1806	383	215	168	199	80	119
Arachnia sp905372155	0	0	0	0	0	0	20001	16875	3126	8654	6027	2627	35533	29340	6193	16651	11524	5127	5038	2837	2201	3595	1630	1965	487	270	217	352	128	224	1855	1456	399	611	349	262	3725	1824	1901	1799	626	1173	4382	2688	1694	1945	907	1038	17169	14532	2637	8692	5834	2858	2196	1228	968	1124	430	694
Arenimonas maotaiensis	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	544	376	168	192	100	92
Aureimonas A endophytica	1	1	0	5	1	4	4	2	2	2	2	0	2	1	1	0	0	0	2	1	1	2	1	1	4	4	0	5	4	1	7	2	5	1	1	0	0	0	0	1	0	1	2371	2075	296	2420	1895	525	1	1	0	0	0	0	2	2	0	3	2	1
Azonexus agitatus	0	0	0	0	0	0	1	1	0	3	1	2	2	1	1	5	3	2	2	1	1	1	1	0	12500	11204	1296	10258	7269	2989	0	0	0	0	0	0	4	3	1	3	1	2	1	1	0	2	1	1	2	2	0	3	2	1	1	1	0	2	0	2
Azonexus aromaticus A	0	0	0	0	0	0	0	0	0	2	2	0	2	1	1	1	1	0	2	2	0	2	1	1	1647	1454	193	1462	1037	425	0	0	0	0	0	0	10	6	4	1	1	0	4	2	2	4	3	1	0	0	0	1	1	0	0	0	0	0	0	0
Azonexus aromaticus B	0	0	0	0	0	0	4	2	2	4	4	0	7	6	1	2	0	2	2	1	1	2	1	1	646	541	105	579	374	205	2	0	2	0	0	0	1	0	1	1	1	0	2	2	0	1	0	1	5	3	2	2	1	1	0	0	0	0	0	0
Azonexus denitrificans	0	0	0	0	0	0	1	1	0	2	1	1	3	1	2	0	0	0	0	0	0	1	1	0	874	770	104	757	501	256	0	0	0	0	0	0	2	2	0	2	1	1	2	0	2	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0
Azonexus fungiphilus	0	0	0	0	0	0	1	1	0	3	1	2	0	0	0	1	0	1	2	1	1	2	0	2	477	392	85	473	309	164	0	0	0	0	0	0	3	1	2	0	0	0	3	2	1	0	0	0	2	1	1	1	1	0	0	0	0	1	0	1
Azonexus hortensis	2	1	1	1	1	0	0	0	0	1	1	0	2	2	0	2	1	1	12	10	2	13	11	2	1917	1740	177	1666	1252	414	0	0	0	0	0	0	4	2	2	0	0	0	60	49	11	47	29	18	3	2	1	2	2	0	2	2	0	0	0	0
Azonexus hydrophilus	0	0	0	0	0	0	3	3	0	3	0	3	3	2	1	0	0	0	0	0	0	0	0	0	346	290	56	366	223	143	0	0	0	1	1	0	2	1	1	1	0	1	1	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Azonexus hydrophilus A	0	0	0	0	0	0	2	2	0	2	2	0	3	2	1	1	1	0	2	0	2	2	1	1	550	483	67	485	314	171	7	7	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0
Azonexus sp002345845	0	0	0	0	0	0	1	1	0	1	1	0	3	1	2	2	1	1	3	1	2	1	0	1	1241	1108	133	1002	710	292	8	8	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0
Azonexus sp002425245	0	0	0	0	0	0	1	1	0	2	1	1	2	1	1	3	1	2	0	0	0	0	0	0	626	536	90	541	370	171	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0
Azonexus sp002440665	0	0	0	0	0	0	3	3	0	0	0	0	3	2	1	3	1	2	1	1	0	2	1	1	822	744	78	710	505	205	0	0	0	0	0	0	0	0	0	1	0	1	2	2	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0
Azonexus sp002470165	0	0	0	0	0	0	3	3	0	0	0	0	2	2	0	1	0	1	1	0	1	0	0	0	2986	2604	382	2586	1740	846	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
Azonexus sp002840765	2	1	1	0	0	0	2	2	0	2	1	1	1	1	0	1	0	1	1	0	1	0	0	0	1044	894	150	960	653	307	0	0	0	0	0	0	2	1	1	0	0	0	4	1	3	2	2	0	0	0	0	2	2	0	4	4	0	0	0	0
Azonexus sp002840785	0	0	0	0	0	0	1	0	1	2	1	1	4	3	1	2	1	1	3	1	2	0	0	0	365	301	64	377	237	140	8	7	1	0	0	0	7	4	3	1	0	1	7	6	1	2	0	2	0	0	0	1	0	1	0	0	0	0	0	0
Azonexus sp002842145	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	3	2	1	1722	1495	227	1539	1032	507	0	0	0	0	0	0	4	1	3	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Azonexus sp003441615	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	0	576	492	84	560	397	163	1	0	1	0	0	0	2	0	2	1	1	0	0	0	0	0	0	0	1	1	0	2	1	1	1	0	1	0	0	0
Azonexus sp003583745	0	0	0	0	0	0	3	2	1	0	0	0	3	1	2	3	3	0	3	3	0	1	1	0	971	824	147	894	581	313	3	3	0	1	1	0	2	2	0	0	0	0	2	0	2	1	1	0	1	1	0	1	0	1	1	1	0	0	0	0
Azonexus sp004379165	0	0	0	0	0	0	2	2	0	0	0	0	2	1	1	1	1	0	1	1	0	0	0	0	1300	1127	173	1083	728	355	0	0	0	0	0	0	7	3	4	5	2	3	3	2	1	3	0	3	2	2	0	1	1	0	1	0	1	0	0	0
Azonexus sp008711155	1	1	0	0	0	0	3	2	1	0	0	0	2	2	0	8	7	1	3	3	0	2	2	0	52316	48022	4294	39342	29460	9882	4	4	0	1	0	1	3	2	1	1	0	1	3	3	0	2	0	2	2	1	1	0	0	0	8	2	6	5	3	2
Azonexus sp009469585	0	0	0	0	0	0	4	2	2	0	0	0	4	2	2	0	0	0	2	2	0	1	0	1	1356	1190	166	1185	825	360	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	2	2	0	1	0	1
Azonexus sp009469615	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	1	1	1	0	1	1	0	4050	3599	451	3407	2423	984	6	6	0	0	0	0	3	1	2	0	0	0	3	3	0	2	2	0	0	0	0	2	2	0	1	1	0	2	2	0
Azonexus sp012026885	0	0	0	0	0	0	0	0	0	3	3	0	2	1	1	1	0	1	0	0	0	1	0	1	470	388	82	389	258	131	0	0	0	0	0	0	0	0	0	2	1	1	2	0	2	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0
Azonexus sp013335535	0	0	0	0	0	0	3	2	1	3	2	1	2	2	0	1	0	1	0	0	0	2	1	1	1176	1026	150	1002	685	317	0	0	0	0	0	0	2	1	1	0	0	0	2	0	2	0	0	0	2	1	1	0	0	0	0	0	0	2	2	0
Azonexus sp013363835	0	0	0	0	0	0	0	0	0	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1066	939	127	903	625	278	0	0	0	0	0	0	3	2	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0
Azonexus sp016705475	0	0	0	1	0	1	4	2	2	2	1	1	5	5	0	2	0	2	2	1	1	4	1	3	703	625	78	624	442	182	0	0	0	0	0	0	2	2	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	2	2	0
Azonexus sp016709495	0	0	0	0	0	0	2	2	0	5	3	2	1	1	0	0	0	0	1	0	1	1	1	0	6387	5638	749	5607	3822	1785	7	7	0	0	0	0	8	5	3	4	1	3	4	2	2	3	2	1	0	0	0	3	2	1	0	0	0	0	0	0
Azonexus sp016709965	0	0	0	0	0	0	2	1	1	0	0	0	1	1	0	2	2	0	1	1	0	3	1	2	2420	2095	325	2071	1413	658	0	0	0	0	0	0	4	2	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0
Azonexus sp016714975	0	0	0	0	0	0	2	2	0	3	2	1	2	2	0	1	1	0	9	6	3	3	2	1	403	354	49	396	258	138	8	8	0	1	0	1	4	3	1	1	1	0	5	3	2	2	1	1	1	1	0	0	0	0	1	1	0	1	0	1
Azonexus sp016721185	0	0	0	0	0	0	2	1	1	0	0	0	2	1	1	0	0	0	2	1	1	1	1	0	558	477	81	479	330	149	0	0	0	0	0	0	5	3	2	1	0	1	7	7	0	6	3	3	0	0	0	1	0	1	0	0	0	0	0	0
Azonexus sp016790815	0	0	0	0	0	0	2	2	0	0	0	0	2	2	0	1	0	1	1	0	1	0	0	0	1593	1431	162	1293	905	388	0	0	0	0	0	0	1	1	0	3	1	2	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Azonexus sp016790845	0	0	0	0	0	0	4	3	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	418	351	67	424	289	135	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Azonexus sp016790885	1	1	0	1	1	0	2	1	1	1	1	0	1	1	0	0	0	0	3	2	1	1	0	1	3364	2943	421	2816	1934	882	0	0	0	1	1	0	2	2	0	1	1	0	0	0	0	3	1	2	0	0	0	0	0	0	4	3	1	0	0	0
Azonexus sp016791065	0	0	0	0	0	0	1	0	1	0	0	0	2	0	2	1	1	0	3	1	2	0	0	0	1382	1204	178	1175	801	374	6	5	1	0	0	0	0	0	0	0	0	0	2	2	0	1	1	0	0	0	0	1	1	0	2	1	1	0	0	0
Azonexus sp016864195	0	0	0	0	0	0	1	0	1	0	0	0	3	1	2	0	0	0	2	0	2	0	0	0	683	577	106	702	451	251	2	2	0	2	2	0	1	1	0	3	0	3	1	1	0	0	0	0	1	0	1	2	0	2	0	0	0	1	0	1
Azonexus sp017983615	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	2	0	0	0	0	0	0	0	955	809	146	797	526	271	0	0	0	0	0	0	2	1	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0
Azonexus sp017983755	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	543	467	76	485	320	165	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0
Azonexus sp018261895	0	0	0	0	0	0	1	1	0	0	0	0	3	3	0	2	2	0	2	1	1	1	0	1	687	580	107	615	408	207	0	0	0	0	0	0	2	1	1	3	3	0	1	1	0	1	1	0	0	0	0	2	1	1	0	0	0	0	0	0
Azonexus sp018261905	0	0	0	0	0	0	4	4	0	4	3	1	1	1	0	2	1	1	3	0	3	0	0	0	656	557	99	593	393	200	2	1	1	0	0	0	5	3	2	0	0	0	3	3	0	0	0	0	1	0	1	0	0	0	2	1	1	0	0	0
Azonexus sp018780195	0	0	0	0	0	0	1	1	0	1	1	0	3	3	0	1	1	0	0	0	0	1	1	0	1160	1017	143	911	618	293	2	2	0	0	0	0	1	1	0	1	1	0	3	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
Azonexus sp018828385	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	1	1	0	1	1	0	0	0	0	1548	1377	171	1145	775	370	0	0	0	0	0	0	3	1	2	0	0	0	2	2	0	3	2	1	1	1	0	0	0	0	1	0	1	2	1	1
Azonexus sp903922075	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	2	0	2	1318	1143	175	1226	838	388	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Azonexus sp903930395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	1	0	0	0	0	765	689	76	814	532	282	5	1	4	2	0	2	1	0	1	0	0	0	0	0	0	1	0	1	2	0	2	2	0	2	1	1	0	0	0	0
Azonexus sp907163225	0	0	0	0	0	0	4	2	2	6	3	3	0	0	0	3	3	0	2	1	1	2	2	0	743	659	84	753	516	237	0	0	0	0	0	0	6	5	1	1	1	0	3	2	1	1	1	0	1	0	1	0	0	0	0	0	0	1	1	0
Azotobacter chroococcum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	2	1	6	6	0	2	1	1	0	0	0	1	1	0	1	1	0	1	0	1	1	1	0	0	0	0	516	428	88	208	102	106
Bacillus O smithii	564	490	74	518	295	223	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	1	0	3	2	1	0	0	0	0	0	0	23	15	8	14	11	3
Bacteroides heparinolyticus	0	0	0	0	0	0	953	672	281	1109	735	374	830	570	260	980	641	339	2	1	1	7	3	4	0	0	0	0	0	0	1	1	0	3	0	3	8	4	4	13	6	7	8	3	5	12	5	7	4	2	2	9	5	4	1	1	0	3	1	2
Blastomonas delafieldii A	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9234	8107	1127	6796	4303	2493	5	5	0	6	4	2	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0
Bordetella sp002261475	0	0	0	1	0	1	2	1	1	0	0	0	1	1	0	2	2	0	0	0	0	1	0	1	459	418	41	258	188	70	0	0	0	0	0	0	4	4	0	0	0	0	1	1	0	1	0	1	3	1	2	0	0	0	1	1	0	0	0	0
Brachymonas sp017993135	1	1	0	0	0	0	7	7	0	3	3	0	16	16	0	17	12	5	31	24	7	16	5	11	92	66	26	73	29	44	21	20	1	7	4	3	331	239	92	119	61	58	199	140	59	102	59	43	52	47	5	30	20	10	9	5	4	7	1	6
Brachymonas sp017996515	0	0	0	0	0	0	28	25	3	20	17	3	60	53	7	25	21	4	243	180	63	146	83	63	717	501	216	457	257	200	70	55	15	39	24	15	3087	2415	672	816	471	345	1859	1416	443	799	502	297	445	405	40	263	190	73	34	20	14	10	8	2
Brachymonas sp018054915	0	0	0	0	0	0	2	2	0	1	1	0	10	7	3	8	5	3	38	22	16	32	18	14	104	76	28	89	51	38	14	11	3	2	2	0	549	416	133	156	97	59	349	252	97	163	90	73	59	57	2	49	40	9	6	1	5	6	2	4
Brachyspira hampsonii B	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	3	0	0	0	0	0	0	0	4	3	1	1	1	0	0	0	0	1081	905	176	1093	850	243	0	0	0	1	1	0	2	2	0	0	0	0
Bradyrhizobium japonicum C	16	10	6	5	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365	335	30	274	178	96	5	5	0	1	1	0	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	5	3	2
Brevundimonas mediterranea A	12	10	2	31	9	22	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	557	365	192	221	97	124
Brooklawnia sp000413315	0	0	0	0	0	0	5993	4997	996	3448	2412	1036	21021	16861	4160	12411	8287	4124	31105	19533	11572	16433	8446	7987	24033	14606	9427	13529	5798	7731	199	177	22	49	34	15	15031	10967	4064	3627	1757	1870	16889	12678	4211	5320	2903	2417	1474	1265	209	844	580	264	1355	986	369	528	260	268
Bulleidia moorei	0	0	0	1	0	1	379	312	67	843	664	179	158	132	26	345	265	80	120	77	43	202	115	87	12	5	7	19	11	8	0	0	0	8	3	5	15	12	3	16	7	9	26	16	10	46	23	23	10	9	1	12	8	4	6	4	2	7	3	4
Bulleidia sp016812035	0	0	0	0	0	0	109	84	25	342	256	86	32	22	10	71	60	11	117	74	43	242	135	107	9	5	4	12	8	4	26	18	8	86	50	36	35	23	12	47	25	22	100	81	19	134	80	54	25	23	2	43	30	13	6	6	0	8	2	6
CAG-791 sp900625025	0	0	0	0	0	0	150	122	28	265	205	60	91	78	13	140	115	25	15	7	8	48	34	14	1	0	1	1	1	0	35	22	13	41	25	16	2	2	0	5	4	1	13	9	4	23	14	9	32	32	0	32	25	7	14	10	4	10	7	3
CAJPNN01 sp905372035	0	0	0	0	0	0	3544	2894	650	8032	6005	2027	1183	966	217	2341	1796	545	55	31	24	118	56	62	2	2	0	6	3	3	692	500	192	1444	802	642	69	43	26	81	45	36	378	257	121	567	260	307	588	495	93	1102	759	343	27	17	10	41	19	22
CAJPPJ01 sp905372515	0	0	0	0	0	0	3	2	1	46	37	9	149	122	27	704	610	94	9	2	7	49	27	22	84	45	39	275	118	157	0	0	0	5	2	3	22	15	7	47	19	28	41	25	16	117	70	47	1	1	0	5	3	2	1	0	1	2	1	1
CAJPQU01 sp905372875	0	0	0	0	0	0	3082	2666	416	2578	1906	672	764	634	130	655	466	189	10	9	1	12	4	8	0	0	0	2	1	1	112	93	19	75	44	31	29	18	11	13	7	6	279	190	89	143	83	60	838	677	161	814	506	308	88	53	35	65	29	36
CAJPQU01 sp905373705	0	0	0	0	0	0	1157	992	165	1031	803	228	469	388	81	387	299	88	13	8	5	10	6	4	1	1	0	0	0	0	51	42	9	93	44	49	24	11	13	23	7	16	78	49	29	64	25	39	119	97	22	115	63	52	92	60	32	41	21	20
CAJPSE01 sp003860125	0	0	0	0	0	0	18088	15264	2824	10547	7517	3030	5675	4734	941	3682	2617	1065	696	368	328	600	265	335	23	16	7	13	4	9	6348	4827	1521	3794	1866	1928	454	221	233	243	89	154	1360	726	634	1012	396	616	4235	3180	1055	3541	2115	1426	261	139	122	199	83	116
CAJPSE01 sp905373185	0	0	0	0	0	0	69226	58704	10522	36350	26364	9986	23754	19563	4191	13710	9711	3999	218	103	115	166	58	108	6	3	3	9	1	8	1502	1078	424	1119	486	633	615	313	302	325	116	209	1377	740	637	919	376	543	2394	1703	691	2104	1147	957	155	79	76	129	45	84
Campylobacter A rectus	0	0	0	0	0	0	2381	1858	523	2926	2052	874	1719	1303	416	2115	1488	627	35	15	20	66	19	47	18	10	8	17	3	14	26	12	14	63	20	43	239	129	110	203	81	122	236	128	108	237	111	126	66	46	20	99	62	37	11	8	3	23	12	11
Campylobacter A showae	0	0	0	1	0	1	192	158	34	238	163	75	854	653	201	915	627	288	42	19	23	85	39	46	16	4	12	25	6	19	0	0	0	1	0	1	266	129	137	229	88	141	214	110	104	229	112	117	46	31	15	56	29	27	6	3	3	6	2	4
Campylobacter A showae A	0	0	0	1	0	1	194	142	52	201	134	67	692	530	162	727	517	210	48	22	26	83	39	44	15	5	10	25	14	11	1	1	0	1	1	0	273	137	136	261	113	148	214	132	82	231	98	133	50	32	18	74	37	37	3	1	2	4	1	3
Campylobacter A showae B	1	1	0	0	0	0	231	187	44	260	179	81	840	631	209	1047	757	290	53	21	32	88	36	52	16	8	8	25	10	15	1	1	0	1	1	0	330	168	162	299	120	179	256	134	122	291	133	158	62	46	16	88	54	34	9	5	4	6	3	3
Campylobacter A showae D	0	0	0	0	0	0	329	251	78	353	232	121	1481	1146	335	1664	1184	480	38	15	23	50	21	29	8	4	4	7	4	3	1	0	1	1	0	1	188	96	92	162	50	112	150	86	64	140	66	74	42	26	16	47	31	16	2	1	1	10	2	8
Campylobacter A showae E	0	0	0	0	0	0	253	197	56	345	245	100	1005	788	217	1154	837	317	45	16	29	71	25	46	16	9	7	21	8	13	5	5	0	6	4	2	281	142	139	250	98	152	208	111	97	231	96	135	49	33	16	69	36	33	8	4	4	7	2	5
Campylobacter A sp014253065	0	0	0	0	0	0	374	294	80	382	290	92	1666	1280	386	1954	1415	539	35	16	19	82	30	52	8	4	4	16	5	11	0	0	0	1	0	1	217	111	106	187	76	111	210	132	78	200	78	122	37	23	14	51	29	22	4	3	1	0	0	0
Campylobacter A sp905372745	1	1	0	0	0	0	186	135	51	199	142	57	897	675	222	988	682	306	34	14	20	48	23	25	9	6	3	19	7	12	4	4	0	2	1	1	128	67	61	131	62	69	112	68	44	116	43	73	29	20	9	29	17	12	2	2	0	4	3	1
Campylobacter B gracilis	0	0	0	0	0	0	518	410	108	533	395	138	365	268	97	427	274	153	13	7	6	15	5	10	3	2	1	6	4	2	9	8	1	11	6	5	198	111	87	122	55	67	165	111	54	133	69	64	72	47	25	71	37	34	50	35	15	31	11	20
Campylobacter B gracilis A	0	0	0	0	0	0	419	348	71	431	305	126	321	254	67	365	278	87	9	4	5	14	7	7	5	2	3	1	0	1	7	5	2	8	2	6	136	81	55	106	36	70	132	75	57	104	45	59	29	18	11	63	33	30	45	22	23	27	9	18
