# Constructed from biom file
#OTU ID	BAN001.A0101.SG1.1_5M	BAN001.A0102.SG1.4_5M	CDM019.A0101.SG1.1_5M	CDM019.A0102.SG1.4_5M	CDM020.A0101.SG1.1_5M	CDM020.A0102.SG1.4_5M	ERR1883418	ERR1883419	ERR1883420	ERR1883421	ERR1883422	ERR1883423	ERR1883424	ERR1883429	ERR1883435	ERR1883437	FUM002.A0101.SG1.1_5M	FUM002.A0102.SG1.5_5M	FUM003.A0101.SG1.1_5M	FUM003.A0102.SG1.4_5M	GDN001.A0101.SG1.1_5M	GDN001.A0102.SG1.3_5M	GOY005.A0101.SG1.2_5M	GOY005.A0103.SG1.4_5M	GOY006.A0101.SG1.2_5M	GOY006.A0102.SG1.5_5M	JAE006.A0101	JAE007.A0101	JAE008.A0101	JAE009.A0101	JAE010.A0101	JAE012.A0101	JAE013.A0101	JAE014.A0101	JAE015.A0101	JAE016.A0101	PES001.B0101.SG1.3_5M	PES001.B0102.SG1.5_5M	SRR1631060	SRR1631061	SRR1631063	SRR1631064	SRR1633008	SRR1761664	SRR1761665	SRR1761666	SRR1761667	SRR1761668	SRR1761669	SRR1761670	SRR1761671	SRR1761672	SRR1761673	SRR3184100	SRR3184876	SRR3189411	SRR3189416	SRR3189418	SRS013950	SRS014107	SRS014477	SRS014691	SRS015064	SRS019029	SRS019129	SRS051244	SRS051378	SRS051930	SRS051941	SRS052604	SRS052876	SRS053584	SRS053630	SRS053917	SRS054653	SRS063215	VLC001.A0101	VLC002.A0101	VLC003.A0101	VLC004.A0101	VLC005.A0101	VLC008.A0101	VLC009.A0101	VLC010.A0101	VLD001.A0101.SG1.1_5M	VLD001.A0102.SG1.2_5M
Actinomyces dentalis	4	1	123813	45076	80688	31696	0	0	0	0	0	0	0	0	0	0	4673	2262	474	233	76287	17556	1738	596	9179	3327	5385	2244	1359425	1955766	815034	238591	51436	2900594	3797718	4777179	37896	15730	1717	1594	2015	1861	1593	48	7	40	48	33	2	24	70	119	89	3279	8048	7285	7093	6371	46304	429849	10605	3171	7409	45678	31364	99213	9784	133448	121964	14284	50471	3688	1147	21798	37547	28717	693200	201286	112744	1040379	569546	829035	1801211	1254848	41600	16775
Actinomyces denticolens	0	0	102	45	116	59	0	0	0	0	0	0	0	0	0	0	252	151	66	29	938	194	94	32	199	85	0	0	0	0	0	0	0	0	0	0	292	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	73
Actinomyces gaoshouyii	0	0	65	30	102	43	0	0	0	0	0	0	0	0	0	0	219	116	32	22	751	199	60	20	139	64	0	0	0	0	0	0	0	0	0	0	267	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	48
Actinomyces gerencseriae	0	2	6816	2617	6088	2497	1	0	0	0	0	0	0	0	0	0	1893	953	620	257	7428	1695	1911	560	3736	1173	6805	1317	319987	119866	71436	13731	5969	76053	65478	430731	7501	3849	394	407	424	450	2524	238	2	356	27	15	13	7	304	28	74	22868	14999	7312	6973	6300	26007	120284	1933	1871	7750	17941	37012	69180	2339	17445	38754	26456	152724	29862	37719	5832	21866	9103	24685	8001	3853	49595	10883	15321	36241	81262	86719	27185
Actinomyces glycerinitolerans	0	0	72	29	89	50	0	0	0	0	0	0	0	0	0	0	88	46	12	9	293	72	30	7	55	20	0	0	0	0	0	0	0	0	0	0	96	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	26
Actinomyces haliotis	0	0	79	45	178	85	0	0	0	0	0	0	0	0	0	0	265	122	48	15	1402	335	101	40	247	110	0	0	0	0	0	0	0	0	0	0	371	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	83
Actinomyces howellii	0	0	252	128	415	196	0	0	0	0	1	0	0	0	0	0	1213	603	84	48	15597	3730	289	94	2290	936	1289	68	5558	4271	1352	2420	206	9319	4379	5595	4164	2177	9	15	15	14	1	0	0	0	0	0	0	0	0	0	0	14	4	23	13	10	88	226	32	0	214	89	110	480	194	630	489	39	150	168	792	429	400	110	2068	720	541	1890	2031	609	1743	1870	1325	641
Actinomyces israelii	1	1	837	373	672	311	0	0	0	0	0	0	0	0	0	0	604	311	90	53	3465	792	184	57	551	239	5503	2858	409126	747786	188389	86608	43862	690198	704647	1180640	1116	616	4548	4539	5471	5475	1143	8	1	2	0	4	5	17	11	44	16	4627	819	565	553	517	538	1452	33564	490	3104	6580	756	55070	27689	14555	78705	692	2447	1131	7090	1389	7815	4805	282004	158106	89688	862799	189878	405441	602111	736882	2016	786
Actinomyces johnsonii	1	3	1417	665	5298	2404	0	0	0	0	0	0	0	0	0	0	22452	11558	7510	3923	993	251	5813	2086	4181	1698	17204	1305	141094	19006	18109	3197	20323	8151	5672	152571	10395	5082	9990	10050	11324	11411	562	137	243	297	55	12	17	62	150	24	79	43141	3448	2351	2294	2094	12422	2935	59104	2277	432983	2337	22888	33704	6065	48440	204151	52238	133340	29253	51036	176866	213008	71038	3136	935	506	119528	5288	4349	26371	19342	3919	1758
Actinomyces lilanjuaniae	0	1	53	36	84	42	0	0	0	0	0	0	0	0	0	0	279	144	46	27	704	212	52	30	162	101	0	0	0	0	0	0	0	0	0	0	223	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	53
Actinomyces marmotae	0	0	99	43	141	61	0	0	0	0	0	1	0	0	0	0	295	158	45	12	582	115	86	21	119	78	0	0	0	0	0	0	0	0	0	0	230	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	46
Actinomyces massiliensis	0	1	530	225	436	231	0	0	0	0	0	0	0	0	0	0	875	445	217	89	1735	447	301	101	549	212	13147	826	170070	201058	769941	30013	259480	118847	26251	103922	962	527	5989	6045	6617	6777	3215	99	144	216	22	23	11	29	69	41	213	5569	2343	30227	28876	25857	38932	15251	29271	162	348958	4833	115653	249133	30482	482361	302718	9543	210686	197285	39237	199722	1712370	92576	17121	106860	4371	320894	12580	72037	193708	361248	2804	956
Actinomyces naeslundii	0	1	1262	571	7721	3550	0	0	0	0	0	0	0	0	0	0	19518	9741	2955	1324	801	196	11441	3544	4939	2031	29698	4868	176013	39094	35671	4041	5828	11273	11567	22127	10845	4988	8397	8423	9319	9392	8368	409	117	590	71	10	12	67	146	108	121	21623	35130	11281	10828	9712	25261	43946	5232	1077	115235	3264	57585	547280	11698	193134	461599	17626	195779	223052	89917	441679	1299760	45051	101488	20166	15228	72659	6013	5395	28090	23638	2001	912
Actinomyces oricola	0	0	186	117	264	137	0	0	0	0	0	0	0	0	0	0	806	463	81	39	7422	1820	174	89	1051	462	889	62	5437	6055	1949	1370	842	8461	3964	10872	1907	955	20	25	26	22	12	0	1	0	0	2	0	9	2	11	0	45	10	25	16	19	73	184	80	8	387	153	91	504	719	661	1222	70	248	300	1137	478	431	177	535	1065	547	66029	1232	1961	3287	3458	723	319
