Species	BAN001.A0101.SG1.1_5M	BAN001.A0102.SG1.4_5M	CDM019.A0101.SG1.1_5M	CDM019.A0102.SG1.4_5M	CDM020.A0101.SG1.1_5M	CDM020.A0102.SG1.4_5M	FUM002.A0101.SG1.1_5M	FUM002.A0102.SG1.5_5M	FUM003.A0101.SG1.1_5M	FUM003.A0102.SG1.4_5M	GDN001.A0101.SG1.1_5M	GDN001.A0102.SG1.3_5M	GOY005.A0101.SG1.2_5M	GOY005.A0103.SG1.4_5M	GOY006.A0101.SG1.2_5M	GOY006.A0102.SG1.5_5M	PES001.B0101.SG1.3_5M	PES001.B0102.SG1.5_5M	VLD001.A0101.SG1.1_5M	VLD001.A0102.SG1.2_5M
Azonexus sp002840785	0	0	0	0	0	0	0	0	365	377	0	0	0	0	0	0	0	0	0	0
Azonexus sp002842145	0	0	0	0	0	0	0	0	1722	1539	0	0	0	0	0	0	0	0	0	0
Azonexus sp003441615	0	0	0	0	0	0	0	0	576	560	0	0	0	0	0	0	0	0	0	0
Azonexus sp003583745	0	0	0	0	0	0	0	0	971	894	0	0	0	0	0	0	0	0	0	0
Azonexus sp004379165	0	0	0	0	0	0	0	0	1300	1083	0	0	0	0	0	0	0	0	0	0
Azonexus sp008711155	0	0	0	0	0	0	0	0	52316	39342	0	0	0	0	0	0	0	0	0	0
Azonexus sp009469585	0	0	0	0	0	0	0	0	1356	1185	0	0	0	0	0	0	0	0	0	0
Azonexus sp009469615	0	0	0	0	0	0	0	0	4050	3407	0	0	0	0	0	0	0	0	0	0
Azonexus sp012026885	0	0	0	0	0	0	0	0	470	389	0	0	0	0	0	0	0	0	0	0
Azonexus sp013335535	0	0	0	0	0	0	0	0	1176	1002	0	0	0	0	0	0	0	0	0	0
Azonexus sp013363835	0	0	0	0	0	0	0	0	1066	903	0	0	0	0	0	0	0	0	0	0
Azonexus sp016705475	0	0	0	0	0	0	0	0	703	624	0	0	0	0	0	0	0	0	0	0
Azonexus sp016709495	0	0	0	0	0	0	0	0	6387	5607	0	0	0	0	0	0	0	0	0	0
Azonexus sp016709965	0	0	0	0	0	0	0	0	2420	2071	0	0	0	0	0	0	0	0	0	0
Azonexus sp016714975	0	0	0	0	0	0	0	0	403	396	0	0	0	0	0	0	0	0	0	0
Azonexus sp016721185	0	0	0	0	0	0	0	0	558	479	0	0	0	0	0	0	0	0	0	0
Azonexus sp016790815	0	0	0	0	0	0	0	0	1593	1293	0	0	0	0	0	0	0	0	0	0
Azonexus sp016790845	0	0	0	0	0	0	0	0	418	424	0	0	0	0	0	0	0	0	0	0
Azonexus sp016790885	0	0	0	0	0	0	0	0	3364	2816	0	0	0	0	0	0	0	0	0	0
Azonexus sp016791065	0	0	0	0	0	0	0	0	1382	1175	0	0	0	0	0	0	0	0	0	0
Azonexus sp016864195	0	0	0	0	0	0	0	0	683	702	0	0	0	0	0	0	0	0	0	0
Azonexus sp017983615	0	0	0	0	0	0	0	0	955	797	0	0	0	0	0	0	0	0	0	0
Azonexus sp017983755	0	0	0	0	0	0	0	0	543	485	0	0	0	0	0	0	0	0	0	0
Azonexus sp018261895	0	0	0	0	0	0	0	0	687	615	0	0	0	0	0	0	0	0	0	0
Azonexus sp018261905	0	0	0	0	0	0	0	0	656	593	0	0	0	0	0	0	0	0	0	0
Azonexus sp018780195	0	0	0	0	0	0	0	0	1160	911	0	0	0	0	0	0	0	0	0	0
Azonexus sp018828385	0	0	0	0	0	0	0	0	1548	1145	0	0	0	0	0	0	0	0	0	0
Azonexus sp903922075	0	0	0	0	0	0	0	0	1318	1226	0	0	0	0	0	0	0	0	0	0
Azonexus sp903930395	0	0	0	0	0	0	0	0	765	814	0	0	0	0	0	0	0	0	0	0
Azonexus sp907163225	0	0	0	0	0	0	0	0	743	753	0	0	0	0	0	0	0	0	0	0
Azotobacter chroococcum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	516	208
Bacillus O smithii	564	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	14
Bacteroides heparinolyticus	0	0	953	1109	830	980	0	0	0	0	0	0	0	13	0	12	0	0	0	0
Blastomonas delafieldii	0	0	0	0	0	0	0	0	9234	6796	0	0	0	0	0	0	0	0	0	0
Bordetella sp002261475	0	0	0	0	0	0	0	0	459	258	0	0	0	0	0	0	0	0	0	0
Brachymonas sp017993135	0	0	0	0	16	17	31	16	92	73	21	0	331	119	199	102	52	30	0	0
Brachymonas sp017996515	0	0	28	20	60	25	243	146	717	457	70	39	3087	816	1859	799	445	263	34	10
Brachymonas sp018054915	0	0	0	0	10	0	38	32	104	89	14	0	549	156	349	163	59	49	0	0
Brachyspira hampsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1081	1093	0	0	0	0
Bradyrhizobium japonicum	16	0	0	0	0	0	0	0	365	274	0	0	0	0	0	0	0	0	0	0
Brevundimonas mediterranea	12	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	557	221
Brooklawnia sp000413315	0	0	5993	3448	21021	12411	31105	16433	24033	13529	199	49	15031	3627	16889	5320	1474	844	1355	528
Bulleidia moorei	0	0	379	843	158	345	120	202	12	19	0	0	15	16	26	46	10	12	0	0
Bulleidia sp016812035	0	0	109	342	32	71	117	242	0	12	26	86	35	47	100	134	25	43	0	0
CAG-791 sp900625025	0	0	150	265	91	140	15	48	0	0	35	41	0	0	13	23	32	32	14	10
CAJPNN01 sp905372035	0	0	3544	8032	1183	2341	55	118	0	0	692	1444	69	81	378	567	588	1102	27	41
CAJPPJ01 sp905372515	0	0	0	46	149	704	0	49	84	275	0	0	22	47	41	117	0	0	0	0
CAJPQU01 sp905372875	0	0	3082	2578	764	655	10	12	0	0	112	75	29	13	279	143	838	814	88	65
CAJPQU01 sp905373705	0	0	1157	1031	469	387	13	10	0	0	51	93	24	23	78	64	119	115	92	41
CAJPSE01 sp003860125	0	0	18088	10547	5675	3682	696	600	23	13	6348	3794	454	243	1360	1012	4235	3541	261	199
CAJPSE01 sp905373185	0	0	69226	36350	23754	13710	218	166	0	0	1502	1119	615	325	1377	919	2394	2104	155	129
Campylobacter A rectus	0	0	2381	2926	1719	2115	35	66	18	17	26	63	239	203	236	237	66	99	11	23
Campylobacter A showae	0	0	1199	1397	4872	5507	226	377	71	103	0	10	1338	1201	1042	1122	249	334	28	33
Campylobacter A sp014253065	0	0	374	382	1666	1954	35	82	0	16	0	0	217	187	210	200	37	51	0	0
Campylobacter A sp905372745	0	0	186	199	897	988	34	48	0	19	0	0	128	131	112	116	29	29	0	0
Campylobacter B gracilis	0	0	937	964	686	792	22	29	0	0	16	19	334	228	297	237	101	134	95	58
Campylobacter B sp900539505	0	0	704	705	520	536	20	23	13	0	12	13	358	229	259	203	82	111	66	75
Campylobacter B sp905373215	0	0	577	669	446	497	21	15	0	0	13	0	227	153	210	158	57	80	37	44
Campylobacter B sp905373295	0	0	592	615	454	469	12	15	0	0	14	10	260	182	247	194	57	71	61	45
Capnocytophaga bilenii	0	0	14	36	712	1243	0	0	0	15	0	0	70	120	49	103	0	19	0	0
Capnocytophaga endodontalis	0	0	208	379	1319	2418	16	34	20	28	0	0	585	907	288	494	94	193	0	0
Capnocytophaga gingivalis	0	0	72	129	1811	2912	34	63	69	100	0	0	484	698	365	634	82	164	12	0
Capnocytophaga granulosa	0	0	199	339	4987	7479	0	10	0	0	0	0	97	163	97	184	18	43	0	0
Capnocytophaga leadbetteri	0	0	88	187	1225	1954	28	70	34	61	0	0	495	765	174	300	45	74	11	0
Capnocytophaga ochracea	0	0	1102	2265	2602	4799	58	104	14	26	29	38	634	1034	369	669	271	608	37	71
Capnocytophaga sp000192225	0	0	68	95	187	400	0	10	14	11	0	0	65	110	39	71	18	43	0	0
Capnocytophaga sp000466425	0	0	24	50	772	1162	0	10	13	0	0	0	73	115	67	111	17	30	0	0
Capnocytophaga sp002999135	0	0	27	38	228	380	32	80	56	98	0	0	900	1440	213	368	33	73	0	0
Capnocytophaga sp905372595	0	0	0	0	351	595	0	14	15	18	0	0	80	140	37	87	13	22	0	0
Capnocytophaga sputigena	0	0	138	280	1855	3137	33	71	38	77	0	0	1087	1764	526	999	167	328	10	0
Cardiobacterium hominis	0	0	145	113	4615	3086	23	25	20	0	0	0	213	120	127	73	31	23	15	0
Cardiobacterium valvarum	0	0	973	636	14128	9673	453	344	194	140	58	35	2782	1302	1297	858	466	392	94	76
Catonella massiliensis	0	0	99	249	80	190	0	43	0	0	0	0	16	16	24	25	14	33	25	40
Catonella morbi	0	0	1213	2811	2550	4900	34	93	0	0	17	27	129	216	120	191	35	95	33	41
Cellulomonas hominis	0	0	0	0	11	0	0	0	28040	13235	71	37	0	0	13	0	15	0	13	0
Cellulomonas sp003696205	0	0	0	0	0	0	0	0	583	404	36	0	0	0	0	0	0	0	0	0
Cellulomonas sp008033115	0	0	0	0	0	0	0	0	542	300	0	0	0	0	0	0	0	0	0	0
Cellulomonas sp011603975	0	0	0	0	0	0	0	0	395	241	0	0	0	0	0	0	0	0	0	0
Cellulomonas sp014763765	0	0	0	0	0	0	0	0	3467	1941	17	0	0	0	0	0	0	0	0	0
Centipeda infelix	0	0	650	499	516	388	0	0	0	0	0	0	13	10	22	13	12	20	0	0
Centipeda massiliensis	0	0	547	394	437	354	0	0	0	0	0	0	0	0	10	12	15	13	0	0
Centipeda noxia	0	0	1301	1097	1702	1415	12	13	0	0	0	0	24	11	51	37	69	87	45	46
