Species,BAN001.A0101.SG1.1_5M,BAN001.A0102.SG1.4_5M,CDM019.A0101.SG1.1_5M,CDM019.A0102.SG1.4_5M,CDM020.A0101.SG1.1_5M,CDM020.A0102.SG1.4_5M,FUM002.A0101.SG1.1_5M,FUM002.A0102.SG1.5_5M,FUM003.A0101.SG1.1_5M,FUM003.A0102.SG1.4_5M,GDN001.A0101.SG1.1_5M,GDN001.A0102.SG1.3_5M,GOY005.A0101.SG1.2_5M,GOY005.A0103.SG1.4_5M,GOY006.A0101.SG1.2_5M,GOY006.A0102.SG1.5_5M,PES001.B0101.SG1.3_5M,PES001.B0102.SG1.5_5M,VLD001.A0101.SG1.1_5M,VLD001.A0102.SG1.2_5M
Corynebacterium matruchotii,0,10,2123,1733,14784,13198,145,184,141,57,0,0,4953,3444,702,680,202,216,62,35
Desulfobulbus oralis,0,0,46175,29651,31595,18735,69589,52858,10014,7237,26910,14038,18017,6978,41545,23460,93692,60958,45052,32547
Desulfomicrobium orale,0,0,165281,101791,11911,8447,1622,1438,95,89,3932,2580,5869,2806,10103,5797,954,842,92,80
Desulfovibrio sp003860215,0,0,1569,966,2845,1791,0,0,0,0,0,11,50,18,21,20,0,0,0,0
Dialister invisus,13,0,1384,2277,306,376,0,0,19,11,0,22,0,11,20,17,64,87,0,0
Eikenella corrodens,0,0,309,218,3106,2398,61,46,156,138,0,0,2685,1257,2390,1537,164,166,0,0
Eubacterium B infirmum,0,0,148,285,47,111,67,97,12,22,16,30,49,64,73,92,94,225,39,54
Eubacterium B sulci,0,0,70,143,12,23,35,83,0,10,0,0,29,34,42,60,33,66,26,21
Eubacterium M brachy,0,0,355,815,94,233,17,37,10,0,0,33,17,33,26,52,19,28,18,22
Eubacterium N saphenum,0,0,2093,4390,448,864,0,0,0,0,178,304,0,15,51,92,20,32,0,0
F0058 sp000163695,0,0,13155,21069,12187,17870,431,788,23,56,64,127,1352,1846,1057,1582,1884,3646,298,382
F0058 sp905372135,0,0,5873,8621,8662,11818,171,315,0,14,20,78,606,639,514,803,359,583,53,43
F0058 sp905372605,0,0,1477,2354,3408,4729,34,62,0,0,0,14,113,106,99,146,40,93,10,16
