gc_bin,counts_gc,Study
"(47,48]",34128,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(48,49]",33858,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(49,50]",51781,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(50,51]",24749,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(51,52]",45573,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(52,53]",46619,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(53,54]",53477,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(54,55]",51954,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(55,56]",60404,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(56,57]",64849,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(57,58]",70789,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(58,59]",66587,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(59,60]",89874,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(60,61]",71935,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(61,62]",86666,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(62,63]",75263,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(63,64]",89811,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(64,65]",85303,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(65,66]",82229,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(66,67]",66959,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(67,68]",77234,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(68,69]",66237,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(69,70]",66521,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(70,71]",45448,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(71,72]",50921,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(72,73]",41062,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(73,74]",37551,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(74,75]",34216,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(75,76]",18499,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(76,77]",19481,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(77,78]",15964,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(78,79]",11561,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(79,80]",9396,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(80,81]",5202,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(81,82]",4491,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(82,83]",2984,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(83,84]",1984,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(84,85]",1434,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(85,86]",846,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(86,87]",580,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(87,88]",364,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(88,89]",198,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(89,90]",136,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(90,91]",63,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(91,92]",43,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(92,93]",21,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(93,94]",17,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(94,95]",8,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(95,96]",8,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(96,97]",11,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(97,98]",7,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(98,99]",9,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(99,100]",11,CDM019.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(1,2]",1,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(3,4]",1,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(5,6]",9,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(6,7]",16,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(7,8]",16,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(8,9]",29,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(9,10]",49,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(10,11]",62,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(11,12]",128,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(12,13]",201,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(13,14]",312,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(14,15]",405,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(15,16]",627,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(16,17]",728,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(17,18]",1144,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(18,19]",1399,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(19,20]",2262,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(20,21]",1994,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(21,22]",3198,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(22,23]",3652,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(23,24]",4944,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(24,25]",6672,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(25,26]",4864,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(26,27]",7942,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(27,28]",9721,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(28,29]",10588,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(29,30]",11773,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(30,31]",13023,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(31,32]",15611,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(32,33]",16703,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(33,34]",16521,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(34,35]",21170,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(35,36]",21812,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(36,37]",23124,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(37,38]",22347,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(38,39]",26445,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(39,40]",32575,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(40,41]",25180,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(41,42]",28973,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(42,43]",31333,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(43,44]",35269,CDM019.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
