"Species"	"Isolation_Source"
"2-12-FULL-55-11 sp001787585"	"other"
"2-12-FULL-55-11 sp001788925"	"other"
"2-12-FULL-55-11 sp007376635"	"other"
"2-12-FULL-55-11 sp016866875"	"other"
"2-12-FULL-57-11 sp001791115"	"other"
"2-12-FULL-57-22 sp001798455"	"other"
"2-12-FULL-57-22 sp016180805"	"other"
"2-12-FULL-57-22 sp016183075"	"other"
"2-12-FULL-57-22 sp016193385"	"other"
"2-12-FULL-60-19 sp001798595"	"other"
"2-12-FULL-60-25 sp001791275"	"other"
"2-12-FULL-60-25 sp003576745"	"other"
"2-12-FULL-60-25 sp014728655"	"other"
"2-12-FULL-60-25 sp018499985"	"other"
"2-12-FULL-62-27 sp001784175"	"other"
"2-12-FULL-64-23 sp001770575"	"other"
"2-12-FULL-64-23 sp004298385"	"other"
"2-12-FULL-64-23 sp007280315"	"other"
"2-12-FULL-64-23 sp012274205"	"other"
"2-12-FULL-64-23 sp014860355"	"other"
"2-12-FULL-64-23 sp014860395"	"other"
"2-12-FULL-64-23 sp014860445"	"other"
"2-12-FULL-64-23 sp016649475"	"other"
"2-12-FULL-64-23 sp017880745"	"other"
"2-12-FULL-65-11 sp001767495"	"other"
"2-12-FULL-67-15 sp001830475"	"other"
"2-12-FULL-67-15 sp009693905"	"other"
"2-12-FULL-67-15 sp016872535"	"other"
"2-12-FULL-68-20 sp001770655"	"other"
"2-12-FULL-69-37 sp001790955"	"other"
"2-12-FULL-69-37 sp016184445"	"other"
"2-12-FULL-69-37 sp016192135"	"other"
"20-14-0-80-47-9 sp002779555"	"other"
"20-14-0-80-50-8 sp002779345"	"other"
"20-14-all-45-10 sp002772325"	"other"
"20-14-all-45-10 sp009619075"	"other"
"20-14-all-54-14 sp002772205"	"other"
"20-14-all-54-14 sp016183535"	"other"
"20-60-12 sp002255495"	"other"
"2011-GWA2-47-8b sp001003205"	"other"
"2011-GWC2-44-17 sp001029695"	"other"
"2011-GWC2-44-17 sp001790515"	"other"
"2011-GWC2-44-17 sp004145215"	"other"
"2011-GWC2-44-17 sp016199685"	"other"
"2013-40CM-41-45 sp002215675"	"other"
"2013Ark19i sp001460935"	"other"
"2013Ark19i sp900078745"	"other"
"20CM-2-55-15 sp001920875"	"other"
"20CM-2-55-15 sp003222815"	"other"
"20CM-2-65-7 sp001915025"	"other"
"20CM-2-65-7 sp003220955"	"other"
"20CM-2-65-7 sp003221035"	"other"
"20CM-2-65-7 sp003221075"	"other"
"20CM-2-65-7 sp003221825"	"other"
"20CM-2-65-7 sp003221895"	"other"
"20CM-2-65-7 sp003221985"	"other"
"20CM-2-65-7 sp003222195"	"other"
"20CM-2-65-7 sp003223395"	"other"
"20CM-2-70-11 sp001914535"	"other"
"20CM-2-70-11 sp003220315"	"other"
"20CM-2-70-11 sp003220675"	"other"
"20CM-2-70-11 sp003221695"	"other"
"20CM-4-69-16 sp001917665"	"other"
"20CM-4-69-16 sp001919865"	"other"
"20CM-4-69-16 sp003220795"	"other"
"20CM-4-69-16 sp003220935"	"other"
"20CM-4-69-16 sp003222135"	"other"
"21-14-0-10-32-9 sp002762915"	"other"
"21-14-0-10-32-9 sp903891505"	"other"
"21-14-0-10-35-9 sp002773835"	"other"
"21-14-0-10-42-9 sp002773845"	"other"
"21-14-0-10-47-8 sp002773975"	"other"
"21-14-0-10-47-8-A sp002793885"	"other"
"21-14-0-10-47-8-A sp016234585"	"other"
"21-14-0-20-44-7 sp002787615"	"other"
"21-14-0-20-46-8 sp002796025"	"other"
"21-14-0-20-56-8 sp002796165"	"other"
"21-14-0-20-63-9 sp002796105"	"other"
"21-14-all-36-13 sp002771585"	"other"
"21-14-all-37-9 sp002772495"	"other"
"21-14-all-39-27 sp002786715"	"other"
"21-14-all-40-8 sp002770795"	"other"
"21-14-all-47-15 sp002771515"	"other"
"21-14-all-47-17 sp002786495"	"other"
"21-64-14 sp002255365"	"other"
"26B sp016894345"	"other"
"28-57-27 sp002281735"	"other"
"28-57-27 sp006212015"	"other"
"28-YEA-48 sp001898965"	"other"
"28-YEA-48 sp900104955"	"other"
"28-YEA-48 sp900299065"	"other"
"28-YEA-48 sp903825465"	"other"
"28-YEA-48 sp903847605"	"other"
"28-YEA-48 sp903851305"	"other"
"28-YEA-48 sp903861645"	"other"
"28-YEA-48 sp903884435"	"other"
"28-YEA-48 sp903885755"	"other"
"28-YEA-48 sp903889985"	"other"
"28-YEA-48 sp903897875"	"other"
"28-YEA-48 sp903902915"	"other"
"28-YEA-48 sp903903935"	"other"
"28-YEA-48 sp903916165"	"other"
"28-YEA-48 sp903918155"	"other"
"28-YEA-48 sp903931945"	"other"
"28-YEA-48 sp903932565"	"other"
"3-1-20CM-2-70-9 sp001917735"	"other"
"3-1-20CM-2-70-9 sp001919195"	"other"
"3-1-20CM-2-70-9 sp005879975"	"other"
"3-1-20CM-2-70-9 sp005881085"	"other"
"3-1-20CM-2-70-9 sp005881885"	"other"
"3-1-20CM-2-70-9 sp005882765"	"other"
"3-1-20CM-2-70-9 sp005883775"	"other"
"3-1-20CM-2-70-9 sp005889075"	"other"
"3-1-20CM-2-70-9 sp005889275"	"other"
"3-1-20CM-2-70-9 sp005889295"	"other"
"3-1-20CM-2-70-9 sp005889445"	"other"
"3-1-20CM-4-69-9 sp001920085"	"other"
"3-1-20CM-4-69-9 sp005883355"	"other"
"3-1-20CM-4-69-9 sp005885085"	"other"
"3-1-20CM-4-69-9 sp005885245"	"other"
"3-1-20CM-4-69-9 sp005888435"	"other"
"3-1-20CM-4-69-9 sp013816245"	"other"
"3107 sp001483205"	"other"
"32-111 sp001508335"	"other"
"32-111 sp002441125"	"other"
"34-128 sp000405345"	"other"
"34-128 sp000405605"	"other"
"34-128 sp001773955"	"other"
"34-128 sp002084865"	"other"
"34-128 sp002849045"	"other"
"34-128 sp003527405"	"other"
