Length,counts_length,Study
119,212,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
120,206,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
121,179,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
122,182,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
123,169,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
124,183,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
125,164,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
126,149,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
127,151,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
128,152,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
129,145,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
130,106,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
131,139,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
132,148,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
133,156,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
134,127,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
135,121,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
136,125,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
137,150,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
138,108,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
139,104,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
140,104,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
141,81,BAN001.A0102.SG1.4.classified_gc_rl.tsv.gz
36,10945,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
37,22046,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
38,30352,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
39,38528,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
40,45367,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
41,48857,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
42,52925,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
43,56304,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
44,58278,CDM019.A0101.SG1.1.classified_gc_rl.tsv.gz
