Species	BAN001.A0101.SG1.1	BAN001.A0102.SG1.4	CDM019.A0101.SG1.1	CDM019.A0102.SG1.4	CDM020.A0101.SG1.1	CDM020.A0102.SG1.4	FUM001.A0101.SG1.1	FUM001.A0102.SG1.4	FUM002.A0101.SG1.1	FUM002.A0102.SG1.5	FUM003.A0101.SG1.1	FUM003.A0102.SG1.4	GDN001.A0101.SG1.1	GDN001.A0102.SG1.3	GOY005.A0101.SG1.2	GOY005.A0103.SG1.4	GOY006.A0101.SG1.2	GOY006.A0102.SG1.5	GUE001.A0101.SG1.1	GUE001.A0102.SG1.4	PES001.B0101.SG1.3	PES001.B0102.SG1.5	SPM002.A0101.SG1.1	SPM002.A0103.SG1.4	VLD001.A0101.SG1.1	VLD001.A0102.SG1.2	ZAF001.A0101.SG1.1	ZAF001.A0103.SG1.4
Centipeda sp001683335	0	0	1285	2042	411	943	20	0	22	0	0	0	0	0	66	0	77	20	0	0	113	36	0	0	0	0	11	0
Centipeda sp001717585	0	0	3991	6562	951	2113	29	0	10	10	0	0	0	0	83	20	102	34	0	0	177	46	0	0	0	0	10	0
Centipeda sp905372865	0	0	741	1215	2218	4320	40	0	16	0	0	0	0	0	86	12	85	21	0	0	105	18	0	0	0	0	0	0
Corynebacterium durum	22	29	0	12	405	1009	595	102	1442	732	268	91	25	0	7652	1192	26861	3802	24	0	22546	3482	62	11	46	23	586	203
Corynebacterium matruchotii	13	14	4737	8072	29275	71605	849	88	522	487	387	95	19	10	42881	8521	5098	1667	69	13	2290	786	85	24	108	53	1337	298
Desulfobulbus oralis	0	0	104228	141456	62481	101290	335817	52525	235284	142892	30980	13301	80818	22321	152748	17615	292423	59107	0	0	1043133	187125	0	0	79473	54603	124	69
Desulfomicrobium orale	0	0	374318	484626	23773	45909	780	142	5445	3985	249	161	11933	4121	50145	6928	69702	14514	0	0	10816	2833	0	0	154	128	0	0
Desulfovibrio sp003860215	0	0	3536	4836	5583	9700	39	0	29	23	0	16	24	18	427	46	174	36	0	0	51	17	0	0	0	0	0	0
Dialister invisus	24	13	3209	10827	619	1969	137	20	17	12	48	23	25	41	88	28	138	49	14	0	872	291	0	0	13	13	58	12
Eikenella corrodens	0	0	696	1062	5999	12596	164	25	201	133	489	262	12	0	22393	3049	16612	3871	0	0	1991	470	0	0	0	0	54	0
Eubacterium B infirmum	0	0	319	1343	99	629	26	40	201	251	28	34	32	56	341	140	427	242	0	0	1254	691	0	0	78	80	18	14
Eubacterium B sulci	0	0	163	710	23	148	22	34	116	194	17	23	0	18	250	80	265	143	0	0	396	246	0	0	42	36	26	19
Eubacterium M brachy	0	18	825	3568	192	1179	96	26	41	99	25	19	27	58	131	68	268	127	0	0	152	89	0	0	32	43	97	46
