number_of_duplications	unique_reads	Sequencing_ID	read_type	Strandedness	Library_ID
8	44	GOY006.A0101.SG1.2.gz	merged		
9	17	GOY006.A0101.SG1.2.gz	merged		
10	4	GOY006.A0101.SG1.2.gz	merged		
11	8	GOY006.A0101.SG1.2.gz	merged		
12	5	GOY006.A0101.SG1.2.gz	merged		
14	1	GOY006.A0101.SG1.2.gz	merged		
15	2	GOY006.A0101.SG1.2.gz	merged		
1	1474487	GOY006.A0102.SG1.5.gz	merged		
2	48246	GOY006.A0102.SG1.5.gz	merged		
3	1326	GOY006.A0102.SG1.5.gz	merged		
4	134	GOY006.A0102.SG1.5.gz	merged		
5	32	GOY006.A0102.SG1.5.gz	merged		
6	7	GOY006.A0102.SG1.5.gz	merged		
7	1	GOY006.A0102.SG1.5.gz	merged		
8	1	GOY006.A0102.SG1.5.gz	merged		
1	282427	GUE001.A0101.SG1.1.gz	merged		
2	104260	GUE001.A0101.SG1.1.gz	merged		
3	61027	GUE001.A0101.SG1.1.gz	merged		
4	32771	GUE001.A0101.SG1.1.gz	merged		
5	16864	GUE001.A0101.SG1.1.gz	merged		
6	8204	GUE001.A0101.SG1.1.gz	merged		
7	3613	GUE001.A0101.SG1.1.gz	merged		
8	1596	GUE001.A0101.SG1.1.gz	merged		
9	711	GUE001.A0101.SG1.1.gz	merged		
10	295	GUE001.A0101.SG1.1.gz	merged		
11	105	GUE001.A0101.SG1.1.gz	merged		
12	36	GUE001.A0101.SG1.1.gz	merged		
13	11	GUE001.A0101.SG1.1.gz	merged		
14	2	GUE001.A0101.SG1.1.gz	merged		
15	2	GUE001.A0101.SG1.1.gz	merged		
16	1	GUE001.A0101.SG1.1.gz	merged		
1	61130	GUE001.A0102.SG1.4.gz	merged		
2	3657	GUE001.A0102.SG1.4.gz	merged		
3	201	GUE001.A0102.SG1.4.gz	merged		
4	19	GUE001.A0102.SG1.4.gz	merged		
5	7	GUE001.A0102.SG1.4.gz	merged		
6	4	GUE001.A0102.SG1.4.gz	merged		
7	6	GUE001.A0102.SG1.4.gz	merged		
8	3	GUE001.A0102.SG1.4.gz	merged		
9	1	GUE001.A0102.SG1.4.gz	merged		
10	3	GUE001.A0102.SG1.4.gz	merged		
12	2	GUE001.A0102.SG1.4.gz	merged		
14	1	GUE001.A0102.SG1.4.gz	merged		
15	1	GUE001.A0102.SG1.4.gz	merged		
17	1	GUE001.A0102.SG1.4.gz	merged		
20	1	GUE001.A0102.SG1.4.gz	merged		
25	2	GUE001.A0102.SG1.4.gz	merged		
27	1	GUE001.A0102.SG1.4.gz	merged		
35	1	GUE001.A0102.SG1.4.gz	merged		
50	1	GUE001.A0102.SG1.4.gz	merged		
60	1	GUE001.A0102.SG1.4.gz	merged		
1	13029373	PES001.B0101.SG1.3.gz	merged		
2	1769477	PES001.B0101.SG1.3.gz	merged		
3	225345	PES001.B0101.SG1.3.gz	merged		
4	25994	PES001.B0101.SG1.3.gz	merged		
5	2852	PES001.B0101.SG1.3.gz	merged		
6	300	PES001.B0101.SG1.3.gz	merged		
7	40	PES001.B0101.SG1.3.gz	merged		
8	2	PES001.B0101.SG1.3.gz	merged		
9	1	PES001.B0101.SG1.3.gz	merged		
10	1	PES001.B0101.SG1.3.gz	merged		
1	3647549	PES001.B0102.SG1.5.gz	merged		
2	109007	PES001.B0102.SG1.5.gz	merged		
3	1916	PES001.B0102.SG1.5.gz	merged		
4	41	PES001.B0102.SG1.5.gz	merged		
5	2	PES001.B0102.SG1.5.gz	merged		
10	1	PES001.B0102.SG1.5.gz	merged		
1	127336	SPM002.A0101.SG1.1.gz	merged		
2	37526	SPM002.A0101.SG1.1.gz	merged		
3	20940	SPM002.A0101.SG1.1.gz	merged		
